Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
04-02-2002,81.85,80,83.5,75.5,79,78.4,78.5,74435
05-02-2002,78.4,76.9,81.6,74.95,80,78.05,78.37,59764
06-02-2002,78.05,82.9,82.9,77.5,79.4,78.35,79.38,36510
07-02-2002,78.35,79.8,79.8,75,75.75,75.75,76.67,23218
08-02-2002,75.75,77.5,79.3,76,78.5,77.65,78.06,35798
11-02-2002,77.65,77.7,83,76,82.25,81.95,80.74,51672
12-02-2002,81.95,81.05,84.95,81.05,81.85,81.8,82.68,54797
13-02-2002,81.8,82,84.7,80,82.9,82.1,82.14,38935
14-02-2002,82.1,84,97,82.45,94.6,95.25,92,216380
15-02-2002,95.25,99.9,113.7,96.2,101,102.3,102.74,229827
18-02-2002,102.3,105,109.1,101,102,102,104.92,151930
19-02-2002,102,105,106,94,94.7,95.3,97.94,87166
20-02-2002,95.3,90.2,99.3,90.2,96,95.7,95.6,47765
21-02-2002,95.7,106,114.85,101.1,114.85,114.85,111.11,291667
22-02-2002,114.85,114.9,124.7,113,116.1,116.1,118.82,549094
25-02-2002,116.1,116,118.45,107.5,108.05,108.6,112.21,124402
26-02-2002,108.6,112,123.5,110,116.5,116.25,118.53,432104
27-02-2002,116.25,117.85,117.85,108,111,110.9,112.49,228415
28-02-2002,110.9,113.5,119,105.6,108.1,108.5,113.45,355164
01-03-2002,108.5,101,125,101,124,122.65,117.96,308513
04-03-2002,122.65,127,147.2,124,147.2,147.2,140.9,647280
05-03-2002,147.2,155,174.85,147.25,160.8,164.35,161.54,1283374
06-03-2002,164.35,162,176.9,156.15,162,161.5,167.93,1538453
07-03-2002,161.5,164,169,147.6,153,150.85,157.21,649304
08-03-2002,150.85,156.8,158.45,146.95,151,149.9,152.51,502264
11-03-2002,149.9,153.7,153.7,141.05,143.6,143.05,145.22,268402
12-03-2002,143.05,146.85,148.9,137.05,138.5,139.65,143.27,576437
13-03-2002,139.65,137,147.65,137,145.8,145.5,143.51,344850
14-03-2002,145.5,144.85,156.65,144.85,150.5,149.25,151.69,587571
15-03-2002,149.25,150,153.9,146.05,149,150.25,150.6,339354
18-03-2002,150.25,152.6,153.9,142.5,143,143.45,147.56,124696
19-03-2002,143.45,145,145.75,139,140,140,142.53,109573
20-03-2002,140,144,144,132.25,135,134.9,136.28,119705
21-03-2002,134.9,135.1,139,132.3,132.3,133.1,136.11,83299
22-03-2002,133.1,134.8,139.2,132.5,134,133.95,135.22,127947
26-03-2002,133.95,132.1,134,128.05,128.05,128.75,130.78,50948
27-03-2002,128.75,129,131.95,129,131.5,130.5,130.43,61626
28-03-2002,130.5,145,146.85,131.55,143,141.75,142.27,282971
01-04-2002,141.75,145,151.8,145,145.05,147.2,147.72,217590
02-04-2002,147.2,147.9,159.95,147,157.5,155.5,154.89,446612
03-04-2002,155.5,154.95,170,153.05,169.7,166.35,164.35,460083
04-04-2002,166.35,171,174.4,165.25,170.05,171.35,170.66,315717
05-04-2002,171.35,170.9,175,160,160.05,160.7,163.64,143317
08-04-2002,160.7,158,163.1,150.6,161.8,160.75,157.25,277595
09-04-2002,160.75,160.55,165,159,161.75,160.1,160.46,150400
10-04-2002,160.1,158,165,158,160.7,162.45,161.14,200946
11-04-2002,162.45,160,168,159.75,166,165.5,163.43,179505
12-04-2002,165.5,166,186,166,184.1,183.15,177.74,633358
15-04-2002,183.15,181,189,174.9,175.1,175.25,180.21,345496
16-04-2002,175.25,172.5,204.9,172.5,201.5,200.7,191.2,758590
17-04-2002,200.7,202,207.65,186.15,186.35,188.4,196.64,516279
18-04-2002,188.4,189.4,195.4,180.6,183,182.85,189.78,314517
19-04-2002,182.85,185,187,172,176,176.4,178.88,266723
22-04-2002,176.4,178.5,183,174.9,177,175.75,178.56,156323
23-04-2002,175.75,177.7,182,173,175.35,175.95,177.53,202128
