Date,Close,High,Low,Open,Volume
07-12-2020,206.3432465,207.5468914,205.0914675,206.4202815,24620000
08-12-2020,207.9995117,208.9046552,204.995218,206.0351692,23284100
09-12-2020,203.9456177,207.2484126,203.3775007,207.1810161,32440600
10-12-2020,202.7130585,205.1781208,202.5589884,203.9167033,26733300
11-12-2020,205.3514557,205.409243,201.3553603,202.2605036,30979400
14-12-2020,206.2566071,208.1920776,204.9855656,205.1974083,28798400
15-12-2020,206.189209,207.4313642,204.3692983,207.1906352,27000600
16-12-2020,211.1482086,211.9474306,206.7573142,206.7862005,35023300
17-12-2020,211.28302,212.6985077,209.8386461,211.7163293,32515800
18-12-2020,210.4837799,211.5429933,208.0090937,210.4837799,63354900
21-12-2020,214.3354797,215.6931949,209.2223979,209.4823893,37181900
22-12-2020,215.635437,217.2627676,213.6229459,214.4317919,22612200
23-12-2020,212.8236694,215.2694693,212.6118268,214.8361601,18699600
24-12-2020,214.4895477,215.3176561,212.9970249,213.2088676,10550600
28-12-2020,216.6175842,217.6478967,214.7495249,216.1264877,17933500
29-12-2020,215.8376465,218.7552812,215.2887919,217.9175489,17403200
30-12-2020,213.4592285,217.2627588,213.2570244,216.8775835,20272300
31-12-2020,214.1717682,214.7302612,211.5333731,213.4784675,20942100
04-01-2021,209.6172028,214.7302848,206.8439998,214.277713,37130100
05-01-2021,209.819397,210.4164149,207.7009846,209.2031313,23823000
06-01-2021,204.378891,208.4616595,204.0803894,204.301856,35930700
07-01-2021,210.194931,211.2059958,205.7847886,206.102538,27694500
08-01-2021,211.4756012,212.400007,208.9816524,210.5704578,22956200
11-01-2021,209.4245911,210.7919299,208.6927656,210.3682446,23031300
12-01-2021,206.9595184,209.049059,205.4092379,208.4713035,23249300
13-01-2021,208.3172302,208.7216532,205.9965993,206.0832729,20087100
14-01-2021,205.1203461,209.395695,204.8507308,207.9031724,29480800
15-01-2021,204.7640839,206.5551082,204.1670806,205.6018308,31746500
19-01-2021,208.4135437,208.9335119,204.7448361,205.8232973,30480900
20-01-2021,216.0206146,217.4168402,209.2320525,209.6268517,37777300
21-01-2021,216.627182,217.9078619,214.1717436,216.3671906,30709400
22-01-2021,217.5708923,221.5381167,217.4264608,218.6589922,30172700
25-01-2021,221.0180817,221.2588106,215.9050007,220.6232826,33152100
26-01-2021,223.7142792,225.495665,221.5477181,223.2617075,49169600
27-01-2021,224.2631226,231.5235172,221.6054798,229.1739999,69870600
28-01-2021,230.0694885,233.641913,226.371895,226.8726154,49111200
29-01-2021,223.3579865,229.1932547,222.7706071,227.2385365,42503100
01-02-2021,230.7628326,233.5071493,223.8105774,226.3430514,33314200
02-02-2021,230.6280212,233.3241892,229.8384377,232.3516492,25916300
03-02-2021,233.9886017,236.0010927,230.3872903,230.6858067,27158100
04-02-2021,233.0353088,234.2197062,231.4561271,233.6612131,25296100
05-02-2021,233.2182617,234.2582128,231.5042723,233.247148,18054800
08-02-2021,233.4782257,234.6433458,231.8797817,234.1330015,22211900
09-02-2021,234.7300262,235.6833036,232.4286577,232.9004771,23565000
10-02-2021,233.8152618,236.8002925,231.9568264,235.9144116,22186700
11-02-2021,235.4233398,236.0588532,233.1701052,235.702579,15751100
12-02-2021,235.9047852,236.2032868,233.7285857,234.8840819,16561100
16-02-2021,234.6626587,237.0025525,233.9115853,235.9433389,26728500
17-02-2021,235.6856537,235.791819,232.539323,232.9060786,21653500
18-02-2021,235.2899323,235.4250504,232.4620977,233.3693257,16925600
19-02-2021,232.5682678,235.3575036,231.805804,235.2513383,25262600
22-02-2021,226.3335266,229.6342825,224.2970937,229.1420696,36446900
23-02-2021,225.1368103,226.642417,220.7550937,222.299314,30228700
24-02-2021,226.3721466,226.9994777,221.0156508,221.9904307,26339700
25-02-2021,221.0059967,226.4107372,219.9346976,223.9882566,39542200
26-02-2021,224.2777863,227.1635268,221.5367952,223.4574167,37819200
01-03-2021,228.6788177,229.1903375,225.0209522,227.6750703,25324000
02-03-2021,225.7158051,229.0262212,225.3104507,228.7463242,22812500
03-03-2021,219.6258392,225.4359487,219.3362962,224.0654605,34029500
04-03-2021,218.8247833,224.3839635,216.4409017,218.8344441,44727800
05-03-2021,223.5249786,225.1367502,218.5641918,221.5174987,41872800
08-03-2021,219.4617615,225.2332571,219.210832,223.3029897,35267400
09-03-2021,225.628952,227.1731718,223.5925194,224.7603376,33080500
10-03-2021,224.3164215,228.7367366,223.9496659,228.7367366,29746800
11-03-2021,228.8621521,230.8310183,226.1404681,226.7678138,29907600
12-03-2021,227.5302887,227.5978551,225.0981474,225.8509506,22653700
15-03-2021,226.6230774,226.989833,223.7276758,226.7678563,26034900
16-03-2021,229.4219666,231.6900222,227.7136756,228.0418175,28092200
17-03-2021,228.7753296,230.2326912,225.0981718,227.916361,29562100
18-03-2021,222.6756897,226.0247054,222.2992881,224.4515325,34833000
19-03-2021,222.3185883,224.3646673,221.3534544,222.9652262,46430700
22-03-2021,227.7619324,228.6401929,222.1158937,222.2413658,30127000
23-03-2021,229.296463,232.6454781,228.8042501,229.2096045,31638400
24-03-2021,227.250412,229.7018454,227.1152938,229.5570812,25620100
25-03-2021,224.2391663,228.6787873,223.4960239,227.0959686,34061900
26-03-2021,228.234848,228.4568394,223.4767452,223.4767452,25479900
29-03-2021,227.0380859,228.5436923,223.7952357,228.3410078,25227500
30-03-2021,223.7662506,225.696518,223.0424003,225.3876681,24792000
31-03-2021,227.5496216,230.7635192,224.2874643,224.7893381,43623500
01-04-2021,233.9001465,234.3730525,229.7500688,230.1554232,30338000
05-04-2021,240.3858643,241.2448327,234.2379524,234.2958581,36910600
06-04-2021,239.2180481,240.7043476,238.2722212,238.9767647,22931900
07-04-2021,241.1869354,242.1810221,238.571431,239.1698093,22719800
08-04-2021,244.4201202,245.2790887,243.2137031,243.9568602,23625200
09-04-2021,246.9294891,247.0646073,243.6383793,244.0533798,24326800
12-04-2021,246.9873657,248.6860104,245.742335,245.8292082,27148700
13-04-2021,249.477478,250.1530836,247.8753521,248.2903821,23837500
14-04-2021,246.6785736,249.8055981,246.2635731,248.5026908,23070900
15-04-2021,250.4522247,250.8672252,248.7439485,248.9369576,25627500
16-04-2021,251.6490173,251.8999616,248.618512,250.4233078,24878600
19-04-2021,249.71875,252.3632371,248.8308433,251.118206,23209300
20-04-2021,249.2554474,251.1278092,247.8849445,248.8307862,19722900
21-04-2021,251.4945526,251.5910719,248.28067,249.9117485,24030400
22-04-2021,248.203476,252.6527287,246.7268077,251.1374615,25606200
23-04-2021,252.044632,252.3920954,248.2999089,248.8886557,21462600
26-04-2021,252.4307709,253.2897542,251.0989108,252.5369509,19763300
27-04-2021,252.8361359,254.0136004,251.0506322,252.4597195,31014200
28-04-2021,245.684433,247.5954083,244.1305671,247.1514256,46903100
29-04-2021,243.7059326,247.1707742,240.3183183,246.5530891,40589000
30-04-2021,243.3874207,244.2560499,240.8973886,241.0325067,30945100
03-05-2021,243.0785828,245.4817711,242.3643785,244.5648822,19626600
04-05-2021,239.1505127,242.4512835,237.1912921,242.219646,32756100
05-05-2021,237.8765564,240.800911,237.2492252,240.3762497,21901300
06-05-2021,241.0228729,241.148345,236.1586048,237.8572351,26491100
07-05-2021,243.6576538,245.4334962,242.4126231,243.35845,27032900
10-05-2021,238.5617523,242.9531138,238.5038467,242.1230982,29299900
11-05-2021,237.6448669,238.0019764,234.1124888,236.0234494,33641600
12-05-2021,230.6669922,235.8594171,229.7694248,233.7264648,36684400
13-05-2021,234.5564728,237.0368738,233.0026067,233.3693623,29624300
14-05-2021,239.4979553,240.492042,236.9307105,237.017569,23901100
17-05-2021,236.631485,237.9923271,235.0293742,237.9537282,24970200
18-05-2021,234.6046906,237.8185874,234.4309588,237.6834693,20168000
19-05-2021,235.1851501,235.2915606,230.8126826,231.4995016,25739800
20-05-2021,238.4354553,239.8574791,235.9009708,235.997713,21800700
21-05-2021,237.1682281,240.2250968,236.7522694,239.4899067,21863100
24-05-2021,242.5951538,242.9627563,239.4318745,239.7027348,21411500
25-05-2021,243.5044403,244.5008223,242.6338201,243.5528114,17704300
26-05-2021,243.2819824,244.684655,242.5661289,243.2239283,17771600
27-05-2021,241.1731567,243.2723317,241.1151173,242.9724517,24426200
28-05-2021,241.5310211,243.8526996,241.4149424,242.8079465,18270200
01-06-2021,239.3254395,243.0884784,238.8998124,243.030439,23213300
02-06-2021,239.2287445,241.1344498,237.8163888,240.0316571,19406700
03-06-2021,237.6905823,238.3000104,235.0690241,237.2165695,25307700
04-06-2021,242.6047516,243.4366836,239.4318049,239.6736454,25281100
07-06-2021,245.5262146,245.7970749,241.6567655,241.8212153,23079200
08-06-2021,244.3267212,247.6544501,244.2686671,246.8321862,22455000
09-06-2021,245.3134003,247.1900855,244.9458126,245.5262212,17937600
10-06-2021,248.8442535,249.0570744,245.390778,245.9905379,24563600
11-06-2021,249.4730682,250.053462,248.2348162,249.5697808,18999700
14-06-2021,251.4077911,251.4658305,248.4186158,249.4827202,19150500
15-06-2021,249.9277039,251.5045091,249.2699046,251.2916882,18038900
16-06-2021,248.9797058,252.0752474,246.116307,250.933767,27220000
17-06-2021,252.3848114,253.2070752,247.6544252,247.7124646,27565500
18-06-2021,250.9627991,253.7391242,250.3049998,251.1562833,37202200
21-06-2021,254.0583801,254.9193173,249.5021117,251.3400943,26696100
22-06-2021,256.8444214,257.1152817,253.8359087,254.1454718,24694100
23-06-2021,256.6121521,258.1212347,255.7995714,257.308654,19518700
24-06-2021,257.9858704,259.1080142,256.8056871,257.4731695,21446900
25-06-2021,256.3704224,258.5276516,256.1189282,257.5409523,25611100
28-06-2021,259.949646,260.1237642,257.2313598,257.5022201,19590000
29-06-2021,262.5420837,262.7839243,259.2337217,260.0946587,19937800
30-06-2021,262.0584717,262.5034501,260.8009124,261.8553338,21656500
01-07-2021,262.7355957,262.9677532,260.8008712,260.8105247,16725300
